date,symbol,sector,action,price,shares,notional,position_shares_after,position_value_after,cash_after,total_equity_after,rsi_6,rsi_6_signal,rsi_12,rsi_12_signal,rsi_24,rsi_24_signal
2023-07-18,MRKV,Electric Power,sell,0.05,240392.0,12019.61,23798822.43,1189941.12,372513.2,1562454.32,90.2,sell,78.19,sell,68.81,hold
2023-07-19,KRSB,Electric Power,sell,16.4,905.0,14841.57,89592.41,1469315.56,398406.92,1867722.48,98.51,sell,92.54,sell,80.74,sell
2023-07-19,MRKV,Electric Power,sell,0.05,237988.0,11899.41,23560834.2,1178041.71,384412.61,1562454.32,96.06,sell,87.22,sell,76.25,sell
2023-07-20,KRSB,Electric Power,sell,16.14,896.0,14460.22,88696.49,1431561.32,412867.14,1844428.45,78.04,sell,79.14,sell,73.52,sell
2023-07-20,MRKV,Electric Power,sell,0.05,235608.0,11780.42,23325225.86,1166261.29,396193.03,1562454.32,97.53,sell,90.51,sell,79.93,sell
2023-07-21,KRSB,Electric Power,sell,16.39,887.0,14537.35,87809.52,1439198.09,427404.49,1866602.58,82.84,sell,82.09,sell,75.78,sell
2023-07-21,MRKV,Electric Power,sell,0.05,233252.0,11662.61,23091973.6,1154598.68,407855.64,1562454.32,82.68,sell,81.92,sell,75.54,sell
2023-07-24,KRSB,Electric Power,sell,16.61,878.0,14585.16,86931.43,1443931.02,441989.65,1885920.67,86.48,sell,84.38,sell,77.62,sell
2023-07-24,MRKV,Electric Power,sell,0.05,230920.0,11545.99,22861053.86,1143052.69,419401.63,1562454.32,91.44,sell,88.25,sell,80.99,sell
2023-07-25,KRSB,Electric Power,sell,16.78,869.0,14587.09,86062.11,1444122.27,456576.75,1900699.01,89.0,sell,86.02,sell,78.95,sell
2023-07-25,MRKV,Electric Power,sell,0.05,228611.0,11430.53,22632443.33,1131622.17,430832.15,1562454.32,94.99,sell,91.68,sell,84.69,sell
2023-07-26,KRSB,Electric Power,sell,16.86,861.0,14510.07,85201.49,1436497.17,471086.82,1907583.98,90.21,sell,86.79,sell,79.58,sell
2023-07-26,MRKV,Electric Power,sell,0.06,226324.0,13579.47,22406118.89,1344367.13,444411.62,1788778.75,96.11,sell,92.91,sell,86.16,sell
2023-07-27,KRSB,Electric Power,sell,17.11,852.0,14577.98,84349.48,1443219.56,485664.79,1928884.36,93.38,sell,89.02,sell,81.44,sell
2023-07-27,MRKV,Electric Power,sell,0.06,224061.0,13443.67,22182057.7,1330923.46,457855.29,1788778.75,96.44,sell,93.25,sell,86.56,sell
2023-07-28,KRSB,Electric Power,sell,17.54,843.0,14794.9,83505.98,1464694.94,500459.69,1965154.63,96.28,sell,91.83,sell,84.15,sell
2023-07-28,MRKV,Electric Power,sell,0.06,221821.0,13309.23,21960237.13,1317614.23,471164.53,1788778.75,98.51,sell,95.98,sell,90.26,sell
2023-07-31,KRSB,Electric Power,sell,17.62,835.0,14713.75,82670.92,1456661.66,515173.45,1971835.11,96.66,sell,92.26,sell,84.61,sell
2023-07-31,MRKV,Electric Power,sell,0.06,219602.0,13176.14,21740634.76,1304438.09,484340.67,1788778.75,98.84,sell,96.54,sell,91.15,sell
2023-08-01,KRSB,Electric Power,sell,19.1,827.0,15790.15,81844.21,1563224.48,530963.59,2094188.08,99.09,sell,96.42,sell,90.24,sell
2023-08-01,MRKV,Electric Power,sell,0.06,217406.0,13044.38,21523228.41,1291393.7,497385.05,1788778.75,98.92,sell,96.67,sell,91.37,sell
2023-08-02,KRSB,Electric Power,sell,18.99,818.0,15542.22,81025.77,1538679.4,546505.81,2085185.21,92.12,sell,92.07,sell,87.65,sell
2023-08-02,MRKV,Electric Power,sell,0.06,215232.0,12913.94,21307996.12,1278479.77,510298.99,1788778.75,73.98,sell,83.37,sell,83.78,sell
2023-08-03,KRSB,Electric Power,sell,18.85,810.0,15273.36,80215.51,1512062.44,561779.17,2073841.6,81.87,sell,86.22,sell,84.3,sell
2023-08-03,MRKV,Electric Power,sell,0.06,213080.0,12784.8,21094916.16,1265694.97,523083.78,1788778.75,67.07,hold,79.6,sell,81.63,sell
